D,H,reps,comp_mean,comp_ci,avgAoI_mean,avgAoI_ci,peakAoI_mean,peakAoI_ci,ooo_mean
0,16,5,0.90726,0.00052,4.0838,0.0022,4.6004,0.0026,5481.8
1,16,5,0.96610,0.00069,4.2072,0.0055,4.6796,0.0049,1946.4
2,16,5,0.98036,0.00094,4.2750,0.0063,4.7410,0.0050,1090.4
3,16,5,0.98706,0.00044,4.3318,0.0122,4.7986,0.0116,677.2
4,16,5,0.99088,0.00075,4.3678,0.0065,4.8382,0.0073,452.2
5,16,5,0.99352,0.00043,4.4092,0.0073,4.8840,0.0072,295.4
6,4,5,0.98666,0.00054,4.5288,0.0145,4.9592,0.0111,54.8
6,7,5,0.99438,0.00032,4.4432,0.0057,4.9172,0.0061,38.6
6,16,5,0.99512,0.00047,4.4354,0.0172,4.9134,0.0147,203.4
8,16,5,0.99680,0.00020,4.4958,0.0134,4.9790,0.0131,101.2
10,16,5,0.99788,0.00016,4.5106,0.0170,5.0010,0.0166,38.8
12,16,5,0.99836,0.00032,4.5074,0.0146,5.0014,0.0146,10.0
16,16,5,0.99848,0.00018,4.5504,0.0216,5.0436,0.0190,2.2
